Neighborhood,Year_Built,Year_Remod_Add,Overall_Qual,Overall_Cond,Gr_Liv_Area,Total_Bsmt_SF,Garage_Cars,Full_Bath,Bedroom_AbvGr,Fireplaces,Lot_Area,House_Age,Years_Since_Remod,Bldg_Type,Sale_Type,Sale_Price
BrkSide,1956,1999,4,8,1453,1076,2,1,2,0,2121,54,11,1Fam,WD,183727
Timber,1980,2002,7,7,1348,1020,3,2,3,1,18343,30,8,TwnhsE,WD,412093
Gilbert,1933,1973,5,2,1396,474,1,1,2,1,17198,77,37,1Fam,WD,241626
Veenker,1940,1981,8,6,531,44,2,2,4,0,6875,70,29,1Fam,WD,288633
CollgCr,1992,1992,4,8,2427,717,2,1,3,1,21336,18,18,1Fam,WD,364337
CollgCr,1972,2007,6,7,2665,1351,2,2,5,1,7425,38,3,1Fam,WD,403905
StoneBr,1912,1948,4,1,4379,1843,3,1,3,0,19705,98,62,1Fam,WD,585141
IDOTRR,1969,2009,2,5,3755,2135,2,2,2,0,7931,41,1,1Fam,WD,256300
Mitchel,1905,1963,1,2,690,354,0,1,3,1,2488,105,47,1Fam,COD,104191
BrkSide,1983,1999,1,6,2270,1421,2,0,3,1,18415,27,11,1Fam,WD,212936
NAmes,1951,1985,8,7,2273,1365,2,2,3,1,4417,59,25,1Fam,WD,329180
Crawfor,1902,1949,4,7,4299,2112,1,2,3,1,8385,108,61,1Fam,WD,409196
BrkSide,1980,1984,5,3,2621,1799,4,1,2,0,5119,30,26,1Fam,WD,283056
NoRidge,1962,2009,8,7,1122,964,3,2,3,0,11910,48,1,1Fam,Oth,460730
StoneBr,1948,1979,7,5,1626,1261,2,2,3,0,15074,62,31,1Fam,WD,446563
NridgHt,1975,1977,8,8,3418,2409,2,2,4,1,8064,35,33,1Fam,ConLD,695724
Somerst,1946,1992,8,8,1085,706,2,2,4,2,4560,64,18,Twnhs,WD,347169
Somerst,2008,2009,6,7,2967,1356,3,3,3,0,16326,2,1,1Fam,WD,463075
Veenker,1954,1988,10,6,972,673,3,1,2,1,16731,56,22,1Fam,WD,376450
Mitchel,1963,1976,2,2,2287,827,2,2,3,1,4024,47,34,1Fam,New,271970
Somerst,1964,1994,6,6,613,213,3,2,5,0,14107,46,16,1Fam,WD,287809
Veenker,1980,2010,1,9,1902,670,2,2,3,1,18573,30,0,1Fam,ConLD,314957
CollgCr,1966,1982,1,2,1836,522,2,3,3,1,14444,44,28,1Fam,WD,259746
StoneBr,1989,2008,3,1,2877,1951,3,2,2,0,14615,21,2,1Fam,WD,539270
Mitchel,1914,1936,3,5,838,501,2,2,3,1,2600,96,74,1Fam,WD,171921
NridgHt,1999,2000,5,6,2785,992,2,3,3,0,9810,11,10,1Fam,WD,553563
IDOTRR,1931,1980,1,3,1696,1349,2,2,3,0,12460,79,30,1Fam,WD,170897
Mitchel,1995,2000,10,8,578,332,2,2,3,0,6801,15,10,1Fam,New,272094
StoneBr,1967,1980,6,7,963,789,2,3,3,1,16472,43,30,Twnhs,WD,409836
NridgHt,1917,1995,7,2,2421,1944,3,0,2,0,20084,93,15,Twnhs,WD,529698
Mitchel,1982,1996,10,7,3152,1725,2,2,3,1,10733,28,14,TwnhsE,WD,402317
NWAmes,1942,1968,3,1,2487,967,3,2,4,1,12827,68,42,Duplex,WD,300824
NWAmes,1934,1948,4,9,4072,2449,2,3,3,1,1996,76,62,1Fam,WD,409849
Mitchel,2003,2004,10,7,1061,651,2,3,5,1,5674,7,6,1Fam,WD,298491
NridgHt,1977,1984,10,6,784,662,4,2,3,0,7030,33,26,1Fam,WD,475396
Somerst,1957,1971,10,2,722,348,2,3,3,1,16598,53,39,1Fam,WD,323296
NoRidge,1932,1934,10,3,3140,1905,1,2,2,0,24853,78,76,TwnhsE,WD,600679
NAmes,1913,1974,10,1,1789,657,2,0,3,1,12824,97,36,1Fam,WD,269385
Crawfor,1933,1979,3,5,2190,1186,2,0,3,1,3153,77,31,1Fam,WD,279942
Somerst,1960,1972,1,9,2920,823,1,2,3,1,8746,50,38,1Fam,WD,367995
NridgHt,1903,2007,8,6,1756,990,3,2,4,0,15560,107,3,1Fam,WD,477581
Veenker,1987,1988,10,5,3458,1978,4,2,4,1,15299,23,22,1Fam,WD,598935
Somerst,1958,1981,10,3,1327,905,2,2,2,0,18127,52,29,1Fam,WD,382518
NWAmes,1928,1988,2,5,2783,1948,3,3,4,0,20139,82,22,Twnhs,WD,323002
Gilbert,1982,2001,1,8,3218,2728,3,2,3,0,8499,28,9,1Fam,WD,360693
NAmes,1905,1917,8,2,4488,2664,2,2,3,0,14898,105,93,1Fam,New,430457
CollgCr,1996,1996,7,5,1327,1237,0,3,3,1,8243,14,14,1Fam,WD,332847
NoRidge,1948,1981,7,6,3310,1441,1,2,3,1,4192,62,29,1Fam,WD,572842
NWAmes,1939,2000,4,8,3885,2950,1,2,2,0,7573,71,10,1Fam,WD,383435
NWAmes,1982,1996,9,8,2460,1697,0,2,3,1,9730,28,14,1Fam,WD,368201
Crawfor,1964,2007,6,5,2465,968,2,2,3,0,4747,46,3,1Fam,WD,349071
Mitchel,1968,1981,2,9,4384,2068,2,2,3,1,24505,42,29,1Fam,WD,408505
CollgCr,1926,2007,1,4,2927,2250,2,1,2,1,19499,84,3,1Fam,WD,316942
CollgCr,1979,2000,1,9,3341,1083,1,1,2,1,1519,31,10,1Fam,WD,356474
ClearCr,1905,1975,9,7,1113,552,2,1,2,0,18104,105,35,TwnhsE,ConLD,322169
NridgHt,2003,2007,4,6,1062,286,2,2,3,1,15660,7,3,1Fam,COD,413988
NoRidge,1912,1942,5,4,2967,2304,3,1,4,0,16110,98,68,1Fam,WD,555328
NridgHt,1963,1987,3,2,2599,1802,0,2,2,1,21655,47,23,TwnhsE,WD,477804
Gilbert,1961,1998,4,8,2244,1150,3,3,3,1,8821,49,12,1Fam,WD,346224
Veenker,1998,2005,8,6,3366,1539,4,2,3,1,8106,12,5,1Fam,WD,553862
CollgCr,1918,2008,4,3,4214,3480,2,3,4,0,9076,92,2,1Fam,WD,459744
BrkSide,1975,1976,9,7,4080,3046,2,2,2,1,17337,35,34,Duplex,WD,359853
Timber,1979,1995,9,7,2305,1705,3,2,2,1,9328,31,15,Duplex,WD,500855
ClearCr,1942,1997,6,6,2468,1423,2,2,3,1,14206,68,13,1Fam,WD,403295
NWAmes,1973,2002,2,2,2752,1139,4,2,5,1,18390,37,8,1Fam,WD,306268
Timber,1988,2007,10,8,3548,2042,3,2,3,2,6241,22,3,1Fam,WD,652158
NridgHt,1919,2003,7,1,1230,1057,2,3,2,1,17062,91,7,TwnhsE,COD,431254
Veenker,1994,1996,9,1,756,184,2,2,3,0,6087,16,14,1Fam,COD,318005
StoneBr,1967,2003,6,6,684,318,2,0,2,1,24322,43,7,Duplex,WD,359061
BrkSide,1943,1958,3,5,2692,904,2,2,2,0,24484,67,52,1Fam,WD,245279
Mitchel,1922,1971,7,9,2531,1454,2,2,4,1,10861,88,39,1Fam,WD,319314
Gilbert,1901,1943,5,7,2213,1673,2,0,3,1,6857,109,67,1Fam,WD,284936
NAmes,1921,1937,1,2,3585,1152,1,2,3,0,18623,89,73,1Fam,COD,286577
Mitchel,1956,1971,3,7,745,463,2,2,3,1,11482,54,39,1Fam,WD,186826
StoneBr,2000,2009,5,3,2734,2239,2,2,3,1,10115,10,1,1Fam,WD,555884
NAmes,1971,1972,7,1,3908,1876,2,3,3,1,4555,39,38,1Fam,WD,386802
CollgCr,1906,1909,3,8,3830,2707,1,2,3,0,22271,104,101,1Fam,WD,399518
Mitchel,1977,1997,6,3,1365,1246,1,2,3,0,20087,33,13,2fmCon,WD,269506
NAmes,1955,1993,5,8,2587,2253,2,2,2,2,11675,55,17,1Fam,ConLD,306961
Veenker,1966,1999,1,7,1100,449,2,2,3,0,21806,44,11,1Fam,WD,259263
NoRidge,1915,2008,10,2,4208,1542,1,2,4,1,19841,95,2,1Fam,WD,702706
Timber,1982,1987,6,1,1461,394,3,2,2,0,14030,28,23,1Fam,ConLD,347473
ClearCr,1950,1966,8,7,1941,1522,3,1,4,0,23210,60,44,1Fam,WD,399075
Mitchel,1981,1987,1,1,3533,2052,2,1,2,1,17287,29,23,1Fam,New,345026
NAmes,1979,2003,2,6,3922,2617,1,2,3,0,3289,31,7,1Fam,WD,340488
NridgHt,1971,1975,4,8,2556,1410,2,2,3,2,16807,39,35,1Fam,ConLD,553938
CollgCr,1996,2000,2,7,2897,935,2,2,3,1,24285,14,10,1Fam,WD,347571
ClearCr,1911,1930,9,4,2631,1689,4,2,2,1,2084,99,80,1Fam,ConLD,408948
Timber,1952,1967,10,1,1032,482,2,1,4,0,7678,58,43,TwnhsE,WD,332017
NoRidge,1974,2010,8,1,1488,987,2,2,5,2,21084,36,0,1Fam,WD,491482
Somerst,1904,2007,8,4,2542,1521,3,3,2,0,19226,106,3,1Fam,WD,436960
BrkSide,1926,1998,4,5,4364,2151,1,1,4,1,5690,84,12,2fmCon,WD,311848
Somerst,1911,1979,5,7,857,90,0,2,3,0,16055,99,31,TwnhsE,WD,210037
CollgCr,1916,1957,4,4,877,218,2,2,4,0,10900,94,53,1Fam,ConLD,221464
NWAmes,1905,1961,9,1,2719,1359,1,2,2,1,16896,105,49,1Fam,WD,321984
Somerst,1996,1997,2,7,1548,612,1,1,4,1,12514,14,13,1Fam,WD,307541
IDOTRR,1904,1912,8,2,892,699,2,3,2,0,13385,106,98,1Fam,WD,154416
IDOTRR,1956,1998,2,2,1626,772,2,2,4,1,22669,54,12,1Fam,New,179979
Timber,1927,1990,1,8,1201,432,2,2,3,1,14780,83,20,TwnhsE,WD,267076
CollgCr,1977,1998,10,5,3807,3081,3,1,3,0,15969,33,12,1Fam,ConLD,546313
Veenker,1968,1989,3,2,1933,929,2,2,2,0,17304,42,21,1Fam,WD,357979
Veenker,1958,1991,9,5,4396,2790,2,2,4,0,6256,52,19,TwnhsE,WD,607918
NridgHt,1932,1986,3,8,3096,2054,1,2,3,0,7525,78,24,1Fam,WD,509670
Crawfor,1961,1989,9,6,1283,456,1,2,3,0,8955,49,21,1Fam,WD,312004
CollgCr,1949,1986,7,3,2328,2166,1,2,3,0,11997,61,24,TwnhsE,WD,351855
NridgHt,2004,2006,10,8,2879,1136,1,1,4,1,2562,6,4,TwnhsE,WD,659456
Veenker,1918,1935,1,9,4235,2838,2,2,3,0,11539,92,75,1Fam,WD,480203
BrkSide,1985,1991,10,5,3341,2729,2,1,2,1,22386,25,19,1Fam,WD,378047
Timber,1968,1968,5,2,4103,3191,2,1,4,2,11074,42,42,1Fam,COD,583557
StoneBr,1965,1997,9,2,3196,1109,3,2,3,2,22865,45,13,1Fam,WD,638453
CollgCr,1993,1993,3,7,1482,447,3,1,3,1,16213,17,17,1Fam,WD,290200
IDOTRR,1946,1949,9,1,4442,1722,2,3,2,0,24496,64,61,1Fam,WD,319294
Timber,1938,1941,5,2,3600,2222,1,2,4,0,22852,72,69,2fmCon,WD,481926
Gilbert,1967,1984,9,4,3090,2079,2,2,3,1,7566,43,26,2fmCon,WD,427978
NWAmes,1932,1958,10,1,1542,764,2,2,3,0,23284,78,52,Duplex,WD,288653
Timber,1912,1954,6,4,1671,1211,1,3,4,0,7184,98,56,1Fam,Oth,343646
NWAmes,1983,2009,9,5,4042,2703,3,1,2,1,12414,27,1,1Fam,COD,472609
Somerst,1953,1984,7,9,3038,1640,2,2,4,0,8338,57,26,Duplex,WD,471069
Gilbert,1906,1938,7,1,2830,2287,2,1,3,1,3487,104,72,1Fam,WD,347531
Gilbert,1978,2005,8,5,1361,1068,3,2,3,1,5567,32,5,Duplex,WD,338010
CollgCr,1986,1995,7,2,2376,705,3,2,3,1,22952,24,15,Twnhs,COD,384510
NoRidge,1913,1967,9,9,2335,1512,2,2,3,1,5604,97,43,TwnhsE,WD,525282
NAmes,1986,1989,9,6,2198,1026,2,1,3,0,13815,24,21,1Fam,WD,319076
Somerst,1918,1977,6,2,612,202,2,2,1,1,16658,92,33,1Fam,WD,240756
StoneBr,1953,1958,7,3,4026,3516,2,2,5,0,10377,57,52,1Fam,WD,678920
NridgHt,1992,2007,2,8,2185,1926,1,2,1,1,24538,18,3,1Fam,WD,486011
Crawfor,1919,1952,9,1,3901,1929,2,2,4,0,14369,91,58,1Fam,WD,453868
Gilbert,1928,1983,1,3,3826,1790,4,2,2,1,13558,82,27,2fmCon,WD,367062
NridgHt,1923,1935,1,1,2122,1006,2,1,3,2,12517,87,75,1Fam,WD,369472
CollgCr,1981,2004,3,8,1922,1057,3,1,4,0,5234,29,6,2fmCon,WD,323002
Timber,1962,1979,6,1,1361,566,4,2,2,0,24688,48,31,1Fam,WD,360227
Gilbert,1973,1985,5,5,3157,1925,2,2,4,0,19125,37,25,1Fam,New,447771
StoneBr,2004,2004,2,4,2432,511,3,1,3,0,5000,6,6,TwnhsE,WD,429730
Gilbert,1956,1992,9,7,1007,550,2,2,3,0,13830,54,18,1Fam,WD,298182
Somerst,1907,1949,10,5,2167,747,2,2,3,1,7230,103,61,1Fam,WD,375998
BrkSide,1989,1995,4,8,965,945,3,1,3,1,23414,21,15,1Fam,COD,207126
NoRidge,1961,2002,4,1,3371,2258,2,2,3,1,4761,49,8,TwnhsE,WD,559178
Somerst,1928,2008,5,5,3978,1934,2,2,4,1,13829,82,2,Duplex,New,553355
NoRidge,1973,1987,8,4,3156,1313,3,2,3,0,21727,37,23,TwnhsE,WD,636397
BrkSide,1916,1933,10,3,1621,1021,2,2,2,0,6325,94,77,TwnhsE,New,279262
NAmes,1965,1987,4,5,789,167,1,1,4,1,3481,45,23,1Fam,Oth,187765
Timber,1905,1958,5,3,3415,1879,1,2,4,1,18531,105,52,1Fam,WD,465053
Gilbert,1957,2007,4,8,2262,1627,2,2,3,0,21807,53,3,1Fam,WD,338986
Mitchel,1968,1997,6,3,4228,2759,4,2,3,0,17376,42,13,1Fam,WD,451099
CollgCr,1927,1984,3,1,3727,2471,3,2,3,0,3482,83,26,1Fam,WD,385335
CollgCr,1961,1964,8,9,3329,1862,2,2,3,0,6755,49,46,2fmCon,WD,458133
Timber,1940,2006,6,9,2709,2019,2,2,3,0,12249,70,4,1Fam,WD,466747
NoRidge,1968,1974,10,6,3171,2618,2,1,5,1,3519,42,36,1Fam,WD,681999
NAmes,1981,2004,5,1,2366,1349,1,2,2,1,6174,29,6,1Fam,WD,270434
BrkSide,1989,2006,2,8,4268,2321,2,2,3,0,9571,21,4,1Fam,WD,317746
Gilbert,1983,1992,10,2,1216,677,2,3,4,1,8480,27,18,1Fam,COD,322184
Somerst,1940,1946,10,9,3668,1748,2,2,3,0,12256,70,64,1Fam,WD,523892
Somerst,1948,1987,7,8,1900,1059,4,2,4,1,20716,62,23,1Fam,ConLD,424743
NWAmes,1990,1995,2,3,1066,377,2,2,3,1,10712,20,15,1Fam,WD,228910
NAmes,1948,1969,1,5,1973,535,2,2,3,1,16714,62,41,Twnhs,WD,207189
NAmes,1975,1975,7,9,1493,788,1,3,4,0,24986,35,35,1Fam,WD,261360
Mitchel,1970,1973,5,1,1640,1188,4,2,3,0,23875,40,37,1Fam,WD,298723
Gilbert,1902,1950,1,9,4176,3174,3,2,3,1,11714,108,60,1Fam,WD,414037
NoRidge,1909,1960,4,4,4376,2606,3,1,2,0,22092,101,50,1Fam,WD,619102
StoneBr,1997,1998,4,4,2487,1502,2,2,4,0,5175,13,12,1Fam,WD,498852
NAmes,1988,1998,10,4,4287,1813,2,2,3,0,3279,22,12,1Fam,WD,416526
Crawfor,1934,1962,7,9,4365,2789,2,2,3,1,22580,76,48,1Fam,WD,491082
NridgHt,1979,1999,9,6,4077,2259,1,1,3,0,6037,31,11,TwnhsE,WD,722912
NoRidge,1901,1990,2,8,3760,2492,2,2,3,2,18757,109,20,1Fam,WD,557638
Gilbert,1923,2000,1,4,4047,1116,3,2,1,0,13342,87,10,1Fam,WD,352902
NridgHt,1973,1981,2,3,3894,2470,1,2,3,0,22650,37,29,1Fam,WD,599501
StoneBr,1937,1983,7,1,3143,1379,1,1,3,1,21312,73,27,1Fam,ConLD,538121
CollgCr,1921,1996,10,7,2493,1275,2,2,3,0,14482,89,14,1Fam,New,463417
Gilbert,1925,1966,6,4,3751,2889,2,2,4,1,23488,85,44,TwnhsE,WD,443084
Gilbert,1942,1992,4,8,2309,896,2,0,3,1,12608,68,18,1Fam,WD,296717
Timber,1954,2009,1,3,1704,846,2,2,3,1,10719,56,1,Twnhs,WD,311580
NWAmes,1938,1988,1,1,1458,895,2,1,3,1,21433,72,22,1Fam,WD,223343
Timber,1990,1995,5,5,2216,1739,3,2,3,0,5381,20,15,1Fam,COD,426824
Somerst,1928,1947,1,2,1512,874,2,3,4,2,11201,82,63,TwnhsE,WD,243229
NWAmes,2010,2010,7,3,2318,1474,3,3,2,1,10934,0,0,1Fam,WD,353527
Gilbert,2001,2008,1,6,1810,1425,3,1,3,0,22673,9,2,1Fam,WD,294589
NAmes,1919,1945,1,3,974,475,3,2,2,0,22236,91,65,1Fam,WD,171484
Gilbert,1990,1995,2,3,1117,611,0,2,4,0,12609,20,15,1Fam,WD,225842
Crawfor,1940,2004,10,6,1140,576,2,3,3,0,24943,70,6,1Fam,WD,350405
NoRidge,1953,2006,3,5,2809,1938,1,2,3,1,7149,57,4,Duplex,WD,469205
Somerst,1919,1942,1,9,4094,1130,2,1,3,0,13473,91,68,1Fam,WD,398967
Timber,2007,2010,9,1,661,0,3,2,4,2,22892,3,0,1Fam,WD,372948
Timber,1918,1964,10,3,4058,2856,2,2,3,0,8817,92,46,Twnhs,WD,606885
IDOTRR,1983,1989,8,3,2503,1653,3,2,5,0,18917,27,21,1Fam,WD,271942
Somerst,1998,2000,5,6,2482,1466,2,2,2,0,12531,12,10,1Fam,WD,376640
NAmes,2010,2010,2,8,2728,1674,2,2,3,0,18095,0,0,Twnhs,WD,309634
Gilbert,1965,1986,5,3,1224,180,3,2,4,1,15463,45,24,1Fam,WD,280615
Mitchel,1929,1991,6,3,968,365,2,3,3,1,23941,81,19,1Fam,WD,253836
CollgCr,1952,2008,1,6,2309,1355,3,3,1,0,7008,58,2,Duplex,WD,307371
Crawfor,1933,1987,4,8,520,434,2,2,5,1,6517,77,23,1Fam,WD,225209
CollgCr,1921,1980,9,6,3846,1672,3,2,3,1,9622,89,30,1Fam,WD,467028
StoneBr,1966,2000,2,3,759,645,2,2,3,1,24363,44,10,1Fam,WD,293208
NWAmes,1905,1966,5,4,3904,2556,3,3,3,1,12768,105,44,1Fam,WD,416450
Veenker,1978,2007,1,1,3013,955,1,1,3,1,15918,32,3,1Fam,WD,380015
NridgHt,1926,1947,4,8,1639,1049,2,2,4,1,11891,84,63,1Fam,WD,428726
Gilbert,1909,1983,4,4,1936,765,3,2,3,0,5562,101,27,1Fam,WD,264735
StoneBr,1972,1991,6,6,1036,814,3,2,3,0,15546,38,19,1Fam,New,484077
BrkSide,1996,2009,10,3,1451,932,0,1,3,1,8848,14,1,1Fam,WD,252415
IDOTRR,1995,2007,9,6,4416,1931,2,2,3,1,9442,15,3,1Fam,WD,344291
BrkSide,1947,1997,3,9,3313,1410,2,2,4,1,9445,63,13,1Fam,WD,277597
Somerst,1969,2009,9,9,3506,1936,1,2,4,2,21122,41,1,1Fam,WD,531276
NridgHt,2004,2005,6,3,4494,2222,2,2,3,0,2993,6,5,1Fam,WD,717549
BrkSide,1958,1991,7,3,2479,1223,1,1,1,1,14199,52,19,1Fam,WD,253559
ClearCr,1999,1999,10,4,4294,1852,2,3,4,1,19461,11,11,1Fam,WD,606045
IDOTRR,1958,1988,2,7,2340,1619,2,3,2,1,19481,52,22,1Fam,WD,216782
IDOTRR,1901,1930,10,3,2356,821,2,2,3,1,3928,109,80,1Fam,WD,245322
NAmes,1928,1945,6,8,3481,2648,2,3,2,0,12687,82,65,1Fam,WD,347176
Veenker,1967,1983,6,8,1350,1230,4,1,2,0,16625,43,27,1Fam,WD,359240
Somerst,1964,2001,2,6,2471,1465,1,2,4,2,18196,46,9,1Fam,WD,377941
NAmes,1982,1995,2,4,1780,1124,2,1,3,0,12134,28,15,Twnhs,WD,212773
Veenker,1925,2003,2,5,1691,471,2,2,5,1,8186,85,7,1Fam,WD,290937
StoneBr,1988,2001,10,2,4420,1359,2,2,3,0,21959,22,9,1Fam,WD,764789
CollgCr,1909,1964,1,6,1032,479,0,2,3,0,1503,101,46,1Fam,WD,172238
BrkSide,1952,1973,5,3,4169,2397,1,2,5,1,8561,58,37,1Fam,WD,318612
Gilbert,1978,1980,8,6,2562,1574,2,2,4,1,10577,32,30,2fmCon,WD,402943
Crawfor,1958,1976,2,5,2597,2088,2,2,4,2,13880,52,34,Twnhs,New,370069
NoRidge,1921,1977,5,2,3546,2849,3,2,2,0,23102,89,33,1Fam,ConLD,580382
Crawfor,1950,1993,8,5,803,782,2,2,4,1,18075,60,17,Duplex,WD,305934
IDOTRR,1947,1980,10,5,4058,3349,4,1,3,1,3880,63,30,1Fam,WD,354457
StoneBr,1920,1954,5,9,915,274,2,2,3,2,19119,90,56,1Fam,WD,346569
CollgCr,1921,1921,2,8,804,365,2,2,3,2,9262,89,89,1Fam,WD,175814
NAmes,1999,2002,3,7,2743,1943,2,2,3,1,14414,11,8,1Fam,WD,305712
NWAmes,1997,2001,6,3,4447,2350,2,2,4,0,12725,13,9,1Fam,WD,460915
Gilbert,1929,1998,5,4,1312,590,2,2,3,0,14360,81,12,1Fam,WD,239157
NWAmes,1924,1960,4,6,3347,1409,2,2,2,1,3903,86,50,1Fam,WD,333659
Somerst,2008,2008,4,3,2935,1690,2,2,3,1,7521,2,2,1Fam,WD,452181
Veenker,1927,1977,5,9,3304,1388,2,2,3,1,8234,83,33,1Fam,WD,460409
Mitchel,1964,1964,2,8,2484,1523,1,1,3,0,13983,46,46,1Fam,WD,274439
Mitchel,1944,1964,9,6,4436,1368,0,2,3,1,3869,66,46,1Fam,New,442521
NAmes,1967,1982,2,4,3002,1072,2,1,2,0,3967,43,28,1Fam,Oth,248810
BrkSide,1906,1966,10,7,1212,578,1,2,3,1,11626,104,44,1Fam,WD,214636
CollgCr,1948,2001,2,3,3252,1591,3,2,5,0,22311,62,9,1Fam,WD,393905
CollgCr,1908,1947,10,8,3395,2734,1,3,3,2,15107,102,63,1Fam,WD,478455
Mitchel,1935,1960,9,1,2181,498,2,2,3,0,2759,75,50,1Fam,New,326778
Gilbert,1982,1997,3,3,1833,393,2,2,4,1,14468,28,13,1Fam,WD,273388
NWAmes,1900,1991,10,5,3698,2117,1,1,1,0,3554,110,19,1Fam,WD,386177
Mitchel,1909,1973,7,5,674,286,3,1,4,1,18417,101,37,1Fam,WD,231162
NAmes,1935,2008,4,2,3705,1346,2,2,3,1,3619,75,2,1Fam,Oth,313901
Somerst,1972,1988,6,8,1589,481,2,2,4,2,19407,38,22,1Fam,COD,360998
Somerst,2008,2008,4,5,1916,1786,3,1,2,0,12357,2,2,Duplex,WD,377941
NoRidge,1945,2003,10,7,2487,1448,0,2,2,0,11878,65,7,1Fam,New,609178
Crawfor,2005,2008,7,7,3936,2116,2,2,3,1,21341,5,2,1Fam,WD,506240
NridgHt,1931,1983,1,5,2826,1687,3,2,3,0,4089,79,27,TwnhsE,WD,458057
CollgCr,1931,2001,3,8,1257,258,2,1,4,0,5919,79,9,Duplex,WD,236597
CollgCr,1905,1983,3,9,2910,1623,2,2,1,1,8592,105,27,1Fam,WD,342606
